Author	n (strains)	publication title	journal	publication URL	strains
Ren et al H	1	Severe acute respiratory syndrome coronavirus 2 isolate BetaCoV/Wuhan/IPBCAMS-WH-04/2019, complete genome	unknown	unknown	Wuhan/IPBCAMS-WH-04/2019
Cao et al	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/VNM/nCoV-19-01S/2020, complete genome	unknown	unknown	VNM/nCoV-19-01S/2020
Houwaart et al	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/DEU/NRW-09/2020, complete genome	unknown	unknown	DEU/NRW-09/2020
Siu et al A	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/HKG/HKPU-00032/2020, complete genome	unknown	unknown	HongKong/HKPU-00032/2020
Ren et al I	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NZL/20CV0271/2020, complete genome	unknown	unknown	NZL/20CV0271/2020
Cantuti-Castelvetri et al	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/Finland/FIN-1-VE6-P3/2020, complete genome	unknown	unknown	Finland/FIN-1-VE6-P3/2020
To et al A	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/HKG/HKU-911a/2020, complete genome	unknown	unknown	HongKong/HKU-911a/2020
Tsao et al A	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/TWN/CGMH-CGU-01/2020, complete genome	unknown	unknown	TWN/CGMH-CGU-01/2020
Liu et al	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/HZ-576/2020, complete genome	unknown	unknown	CHN/HZ-576/2020
Rodpan et al B	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/THA/SI200433-NT/2020, complete genome	unknown	unknown	THA/SI200433-NT/2020
Kim et al B	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/KOR/KCDC12/2020, complete genome	unknown	unknown	KOR/KCDC12/2020
Hatem et al A	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/EGY/EGY_CCHE57357_A_71/2020, complete genome	unknown	unknown	EGY/EGY_CCHE57357_A_71/2020
Hatem et al B	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/EGY/CCHE57357_W3_A097/2021, complete genome	unknown	unknown	EGY/CCHE57357_W3_A097/2021
Moreno et al A	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-171/2020, complete genome	unknown	unknown	USA/WI-UW-171/2020
